id;testId;query
77;4;Для православного брака требовалось достижение брачного возраста, а именно
78;4;В сфере общественного права завещательная свобода:
79;4;«Уложение о наказаниях уголовных и исправительных» (1845 г.) предусматривало:
80;4;Наказания подразделялись на:
81;4;К важнейшим преступлениям относились:
82;5;Что является предметом философии права по мнению Трубецкого?:
83;5;Предмет философии права по Тихонравову:
84;5;З. Какое место отводит Шершеневич философии права в системе наук?
85;5;Философия права в системе юридических наук по мнению Керимова:
86;5;Точка зрения Нсрсссяица по вопросу о системе курса "Философии права":
87;5;Шершеневич Г.Ф. считал, что теоретическая задача философии права заключается:
88;5;По мнению Е.П. Трубецкого одним из важных вопросов философии права является:
89;5;З. Профессор права С.С. Алексеев предмет философии права трактует, как:
90;5;По мнению Б.А. Керимова предмет философии права можно охарактеризовать как:
91;5;В.С. Нерсесянц считает, что предметом философии права является:
92;5;Свою философско-правовую позицию Б.Н. Чичерин называл:
93;5;В своих философско-правовых исследованиях Б.Н. Чичерин применяет:
94;5;З. Новгородцев П.И. в понимании права и государства разделял основные идеи:
95;5;Возникновение права В.С. Соловьев трактует в духе:
96;5;Философско-правовая концепция христианского персонализма разработана:
97;5;Античная философия права раннего периода характеризуется творчеством:
98;5;В основе права, согласно Цицерону, лежат:
99;5;Говорит о "специальной справедливости" и различает два вида ее проявления:
100;5;Говорит о справедливости как "надлежащей мере" и различает два вида равенства:
101;5;Римские юристы сформулировали принципиально важное положение о делении права на:
102;5;Юридическая аксиология, это учение о:
103;5;Исходным пунктом развития аксиологии послужило:
104;5;З. К аксилогическим принципам относятся:
105;5;Согласно естественно-правовой аксиологии, естественное право выступает в виде:
106;5;Либертарно-юридическая аксиология проповедует идею:
107;6;Педагогика это:
108;6;Какие задачи ставятся перед педагогической наукой?
109;6;Что определило развитие педагогики как науки?
110;6;это то, что остается, когда все забыто.
111;6;Процесс воспитания это:
112;6;Отражение человеком объективной действительности в форме фактов, представлений, понятий и законов науки это:
113;6;Обучение это:
114;6;Целью воспитания является:
115;6;Традиционными методами исследования в педагогике являются:
116;6;Отраслью педагогики не является:
117;6;Мировую славу русской педагогике принес:
118;6;Основу обучения составляют:
119;6;Социализация это-
120;6;Не является ученым-педагогом:
121;6;Основой для образования педагогики как науки являлась:
122;6;Ведущая категория педагогики это -
123;6;Процесс целепологания подразумевает:
124;6;Педагогический процесс это:
125;6;Компонентами педагогического процесса являются:
126;6;Главной целью образования является:
127;6;Целостность педагогического процесса заключается в:
128;6;Определяющим фактором при постановке цели воспитания является:
129;6;Педагогику как самостоятельную науку выделил:
130;6;Формирование ценностного отношения в жизни, обеспечивающего устойчивое и гармоничное развитие личности (воспитание чувства долга, справедливости, искренности, ответственности и других качеств, способных придать высший смысл делам, мыслям и чувствам человека) это-
131;6;Закон параллельного действия заключается в том, что:
132;6;Основными категориями педагогики являются:
133;6;Процесс становления человека как социального существа под воздействием всех без исключения факторов – экологических, социальных, экономических, идеологических, психологических и т.д., достижение уровня зрелости, устойчивости это -
134;7;Понятие «абсолютно черное тело» получено с помощью логической операции:
135;7;Сборник логических трактатов Аристотеля называется:
136;7;Отношение знака к обозначающему объекту исследует:
137;7;Из перечисленных выражений квантор существования задается только выражением:
138;7;«Космонавт» это:
139;7;Какое из указанных выражений является суждением?
140;7;Какое из следующих понятий является непустым?
141;7;Объемы какой пары понятий соотносятся так, как на следующей схеме:
142;7;Какой из законов логики нарушен в следующем примере: «Что это вы все время смеетесь? – А что же мне плакать, что?»
143;7;Какой из законов логики нарушен в следующем требовании: «За сборную должны выступать только игроки уже имеющие опыт игры за сборную»?
144;7;Какое из указанных определений является перациональным?
145;7;Какая ошибка допущена в следующем определении: «Человек это двуногое живое без перьев»?
146;7;Какая логическая операция выполнена в следующем примере: «Ни один крокодил не живет в Амуре. Следовательно, все живущие в Амуре – не крокодилы»?
147;7;Какое из следующих суждений является выделяющим:
148;7;Какая ошибка допущена в следующем простом категорическом силлогизме: «Некоторые китайцы живут в Хабаровске. Некоторые хабаровчане учатся в ХГТУ. Следовательно, среди студентов ХГТУ есть китайцы»?
149;7;К какому типу умозаключением относится следующее выражение: «Если ты будешь говорить правду, тебя возненавидят люди. Если ты будешь лгать, тебя возненавидят боги. Но ты можешь или лгать, или говорить правду. Следовательно, или тебя возненавидят люди, или тебя возненавидят боги»?
150;7;Какую фигуру имеет следующий простой категорический силлогизм: «Ни один лжец не заслуживает доверия. Всякий добропорядочный человек заслуживает доверия. Следовательно, не один добропорядочный человек не лжец»?
151;7;Какая ошибка допущена в следующей аргументации: «Немецкий физик В. Нерст, автор третьего начала термодинамики, следующим образом «доказывал», что ему удалось завершить разработку фундаментальных законов термодинамики: у первого начала ти автора (Майер, Джоуль Гемгольц), у второго – два (Карно и Каузиус), у третьего – один (Нерст); следовательно, число авторов четвертого начала должно равняться нулю, т.е. такого закона не может быть»?
152;7;Какой метод установления причинных связей был использован в следующем примере: «В прошлом веке считали. Что животным для поддержания жизни необходимо потреблять лишь белки и соли. Это мнение опроверг в 1880 г. доктор Н.И. Лунин. Он проделал следующий опыт. Одну группу мышей кормил обычной пищей, а другую очищенными белками и солями. Мыши второй группы через некоторое время погибли. Лунин сделал вывод о том, что животным кроме белков и солей нужно еще что-то. Затем этот недостающий компонент питания был открыт. Им оказались витамины»?
153;7;«Если произошло самоубийство, то не было несчастного случая и убийства. В данном случае было убийство. Значит, не было несчастного случая и самоубийства». Данное рассуждение представляет из себя:
154;7;Какой из следующих вопросов синтаксически некорректным:
155;7;Какой ответ на вопрос «Почему аборигены съели Кука?» является нерелевантными:
156;8;Что реально является объектом медицины как науки?
157;8;Какую из медицинских теорий можно считать фундаментальной основой теории общей патологии?
158;8;Как можно оценить природу человека?
159;8;Если возможна общая междисциплинарная теория человека, то какие из перечисленных дисциплин должны составить ее основание?
160;8;К какой из фундаментальных концепций пространства и времени относятся понятия «биологическое время» и «биологическое пространство», «психологическое время»?
161;8;К каким типам диагностики можно отнести компьютерную диагностику?
162;8;Какие из этиологических концепций современной медицины можно оценить как вариант механистического детерминизма?
163;8;Какие из перечисленных методов относятся к эмпирическому уровню научного исследования?
164;8;Какие из перечисленных методов относятся к теоретическому уровню научного исследования?
165;8;В современной медицине, как в любой другой науке, есть две формы научного рационализма, символами которых выступают герои «Фауста» Гете. Кто из них и почему олицетворяет, с Вашей точки зрения, современную науку?
166;8;К. Маркс, анализируя усиливающуюся специализацию научных исследований, называл последствия этого процесса «профессиональным кретинизмом». Характерен ли этот феномен, с Вашей точки зрения, для современной медицины?
167;8;Совпадают ли по смыслу понятия «норма» и «сущность» здоровья?
168;8;Какой из этих вариантов наиболее соответствует современной клинической практике?
169;8;Теоретическое моделирование биологической открытой системы предполагает определение отношения «организм - среда». Какая из структур этого взаимодействия характерна для человека?
170;8;Платон и Гиппократ говорили: «Врач-философ подобен Богу» В чем, по Вашему, заключается сокровенный смысл этой античной идеи?
171;9;Наука об обучении, образовании, их целях, содержании, методах, средствах называется…
172;9;Термин “дидактика” впервые ввел…
173;9;Под дидактикой понимал “всеобщее искусство всех учить всему”…
174;9;Процессы преподавания и учения с их условиями и получаемыми результатами – это предмет …
175;9;Функциями процесса обучения являются …
176;9;Совокупность принципов, содержание, методы и средства обучения, образующие целостную структуру и подчиняющиеся целям обучения, составляют…
177;9;Учение понимается в дидактике как…
178;9;Управление учебно-познавательной деятельностью учащихся называется…
179;9;Связи между целями, содержанием, методами, средствами, формами обучения относятся к ___ закономерностям
180;9;Эффективность обучения зависит от целесообразного привлечения органов чувств к восприятию и усвоению учебного материала – это принцип…
181;9;Принцип ведущей роли теоретических знаний используется в концепции ___ обучения
182;9;Процессом обучения называется …
183;9;К дидактическим принципам не относится принцип …
184;9;В структуру учебной деятельности не входит …
185;10;В каком городе ежегодно проходит Всемирный экономический форум?
186;10;Какие события произошли в один и тот же год?
187;10;Какие страны в средние века назывались Ост-Индией?
188;10;"Душой ислама" называют ...
189;10;Определите события, которые произошли в один и тот же год.
190;10;Какое государство в 1929 г. производило 44% промышленной продукции так называемого капиталистического мира?
191;10;Какие государства, являлись доминионами Великобритании после первой мировой войны?
192;10;Какие из перечисленных исторических явлений относятся ко второму периоду истории средних веков?
193;10;Через сколько лет после восстания "Желтых повязок" пала Западная Римская империя?
194;10;Какие негативные явления начались в экономике развитых стран в начале 70-х годов? 1) замедление темпов роста производства; 2) обострение хозяйственных и социальных противоречий; 3) увеличение темпов роста производительности труда; 4) начало топливо-энергетического и сырьевого кризиса; 5) уменьшение безработицы, что привело к росту бюджетных поступлений; 6) начало кризиса в валютно-финансовой сфере.
195;10;Лозунг "Три года упорного труда - десять тысяч лет счастья" характерен для ...
196;10;Высшим органом ООН является ...
197;10;Как назывался программный документ левеллеров?
198;10;К какому периоду истории средних веков можно отнести культуру эпохи Возрождения: расцвет искусства, переворот во взглядах на Вселенную?
199;11;Какие племена не являются германскими?
200;11;Какой период называют "золотым веком" испанской культуры?
201;11;Какое государство называлось "лоскутным"?
202;11;Укажите правителя - президента в период провозглашения в 1849 г. независимости Венгрии.
203;11;У какого города произошло первое крупное сражение Гарибальди с войсками Бурбонов в 1860 г.?
204;11;Неустойчивую часть депутатов в конвенте Франции называли ...
205;11;Определите годы жизни борца за объединение Италии Джузеппе Гарибальди?
206;11;Где возникали поселения бродячих ремесленников средневековой Европы? 1) на перекрестках дорог; 2) в горных ущельях; 3) вблизи удобных морских гаваней; 4) у стен больших монастырей; 5) вдали от деревень и других населенных пунктов; 6) среди развалин римских крепостей.
207;11;В какой из стран Западной Европы раньше других стали мостить главные дороги?
208;11;Какое событие является первой попыткой свержения феодального строя в Европе?
209;11;В ходе какого события во Франции была свергнута власть короля Луи Филиппа?
210;11;Итальянские кинорежиссеры и сценаристы Р.Росселини, Д.де Сантис, Л.Висконти являются основоположниками нового направления в культуре, а именно ...
211;11;На какой конференции союзники по антигитлеровской коалиции заключили "Декларацию об освобожденной Европе"?
212;11;Какая по счёту республика была провозглашена во Франции с 1946 по 1958 гг.?
213;12;В каком году главами государств СНГ было подписано Соглашение о создании Межгосударственного экологического совета стран СНГ?
214;12;Какое из государств СНГ первым подписало с Европейским Союзом Соглашение о партнёрстве и сотрудничестве?
215;12;Какая территория была включена в состав российских владений в Туркестане после 1873 г.?
216;12;Кто и когда возглавлял первую Российскую императорскую миссию в Бухарское ханство?
217;12;Закарпатская Украина вошла в состав бывшего СССР согласно ...
218;12;По приказу какого правителя отправился Флорио Беневени в Среднюю Азию?
219;12;В каком году в результате подписания советско-японской декларации было оформлено формальное прекращение состояния войны между бывшим СССР и Японией?
220;12;Разгром квантунской армии - основы японских сухопутных сил - был осуществлен Красной Армией в ходе ...
221;12;Кем были построены первые каменные храмы на Руси?
222;12;Определите причины феодальной раздробленности на Руси. 1) развитие крупного землевладения; 2) феодалы не нуждались в княжеской власти; 3) слабые экономические связи; 4) необходимо было иметь военные отряды для защиты своих границ; 5) обострение классовой борьбы; 6) рост и укрепление городов, превратившихся в политические и культурные центры феодальных владений; 7)в отдельных княжествах легче было наводить порядок.
223;12;Определите русского путешественника, руководившего кругосветной экспедицией и открывшего 12 островов.
224;13;Укажите область Ирана, где возникло Персидское царство.
225;13;Пагода красоты дракона находится в ...
226;13;Какое государство выдвинуло идею придания Юго-Восточной Азии безъядерного статуса?
227;13;Какой памятник архитектуры называют "жемчужиной Индии"?
228;13;К какому периоду истории относится объединение Индии под властью царя Ашоки?
229;13;Какая знаменитая игра, возникшая в Индии, называется "четыре рода войск"?
230;13;Колонией какого государства была территория современной Малайзии до второй мировой войны?
231;13;Какое государство по отношению к КНР проводило политику "трёх нет": "никаких компромиссов, никаких переговоров, никаких контактов"?
232;13;Когда в Республике Корея был установлен военный режим?
233;13;Какому иранскому правителю удалось восстановить единство государства и даже захватить столицу Бабуридов Дели?
234;13;Для какого периода истории Китая было характерно выполнение задач буржуазно- демократической революции?
235;13;Согласно "Шахнаме", земля, где проходила граница между Тураном и Ираном, называлась ...
236;14;Как называлась колония, основанная европейцами на месте Нью-Йорка?
237;14;Какое историческое событие имело место в Латинской Америке, когда в России происходило восстание декабристов?
238;14;Кому из борцов за национальное освобождение народов Латинской Америки принадлежат следующие слова: "<i>Я не успокоюсь до тех пор, пока не разорву цепи, которыми Испания опутала мою Родину</i>"?
239;14;Какую цель преследовал государственный секретарь США Д.Маршалл, выдвигая так называемый план Маршалла?
240;14;Определите годы президентства Джона Кеннеди.
241;14;В каком из перечисленных государств в 60-70-х годах не была установлена власть военной хунты?
242;14;Какие страны Латинской Америки добились своей независимости в один и тот же год?
243;14;Какие страны Латинской Америки добились своей независимости в результате освободительной борьбы?
244;14;Определите страны Латинской Америки, в которых экономические трудности 80-х годов способствовали уходу с политической арены авторитарных режимов. 1) Аргентина; 2) Мексика; 3) Боливия; 4) Бразилия; 5) Куба; 6) Уругвай; 7) Гватемала; 8) Чили; 9) Парагвай; 10) Гаити.
245;14;Во всех государствах Центральной Америки ещё в 30-е годы XX столетия были установлены военно-полицейские режимы, кроме ...
246;14;Чьей колонией являлась Куба в тот период, когда США начали войну с Мексикой и захватили у неё Техас, Калифорнию?
247;15;Определите среди перечисленных город, который не располагался на территории Древнего Египта.
248;15;Когда в Римской империи были запрещены Олимпийские игры, посвященные Зевсу и с чем это было связано?
249;15;В низовьях каких рек были основаны древнегреческие колонии?
250;15;В каком из государств функционировала так называемая Царская дорога?
251;15;В каком ответе хронологически правильно указана последовательность событий древней истории?
252;15;Определите основные занятия древних людей, живших 30-14 тыс. лет тому назад.
253;15;Когда был построен храм бога Луны в городе Уре?
254;15;Одной из наиболее почитаемых богинь Греции была богиня плодородия Деметра, а у римлян богиней плодородия была ...
255;15;Покровителем виноделия в Греции был бог Дионис, о котором говорится, что его всегда сопровождали неизменные спутники сатиры и спутницы ...
256;15;Кто из античных скульпторов создал прославленную статую Зевса Олимпийского?
257;16;К осмотру трупа на месте его обнаружения в качестве специалиста в области судебной медицины могут быть привлечены все, кроме:
258;16;В первые часы окраска кровоподтека:
259;16;Соединительнотканные перемычки между краями характерны для:
260;16;Для какой степени алкогольного опьянения характерны повышенная утомляемость, эмоциональная неустойчивость, нарушения координации мелких движений?
261;16;Для какой степени алкогольного опьянения характерны значительная эмоциональная неустойчивость, шаткая походка, неясная речь, нарушения психики и ориентировки, сонливость?
262;16;Для какой степени алкогольного опьянения характерны снижение болевой чувствительности, вплоть до ее потери, ступорозное состояние?
263;16;Назначение судебно-медицинской экспертизы является обязательным для установления:
264;16;К ранним посмертным изменениям относят:
265;16;Исследование трупных пятен позволяет установить:
266;16;Значение мышечного окоченения состоит в том, что оно:
267;17;Договор купли-продажи это:
268;17;Существенным условием любого договора было:
269;17;Чт оявлялось характерным признаком юридического лица в Риме?
270;17;К реальным договорам относится:
271;17;Пакт - это:
272;17;К обязательствам как бы из договора относились:
273;17;Для признания действия частным деликтом необходимо наличие такого элемента, как:
274;17;Основными видами частных деликтов были:
275;17;К обязательствам как бы из деликтов можно отнести:
276;17;Наследование - это:
277;17;Сколько очередей законных наследников различало право Юстиниана?
278;17;Завещание по римскому праву это:
279;17;Завещание признавалось действительным при  наличии в нем следующих условий:
280;18;Существует ли государственная идеология в условиях демократии?
281;18;Назовите основные течения современной политологии.
282;18;З. Социально-политическое учение, отрицающее позитивную роль государственой власти и политической борьбы и проповедующее освобождение личности от всех форм политической, экономической и духовной власти:
283;18;Территория или часть территории одного государства, окруженная территорией другого или других государств:
284;18;Назовите главный международный документ в области прав человека.
285;18;На какие ветви подразделяется государственная власть в соответствии с "теорией разделения властей"?
286;18;Что такое нация?
287;18;.8 Пропагандистская деятельность, воздействующая на общественное сознание при помощи распространения различных идей, взглядов, выступлений:
288;18;.9 Страна,  в которой зародилась мафия:
289;18;Теоритическая концепция в зарубежной политологии, рассматривающая политические и социальные отношения в обществе, международные отношения и причины различных конфликтов через призму биологических факторов и врожденных психологических качеств отдельных людей и этнических групп:
290;18;Позиция, выражающаяся в непрепятствовании событиям идти своим ходом и имеющая неоспоримые последствия в укреплении определенной политической линии:
291;18;Отрасль знания, исследующая закономерности ,пути, средства и методы, а также соответствующие технологии достижения высшего уровня профессионализма в политической деятельности:
292;18;Русский естествоиспытатель-энциклопедист и мыслитель, основоположник ряда новых научных дисциплин - геохимии, биогеохимии, космохимии, радиогеологии, концепции биосферы и ее перехода в ноосферу:
293;18;Отмежевание государства, его органа власти или неправительственной организации от действий или заявлений своего официального представителя:
294;18;Власть влаждельцев информации, их заметная роль в жизни современного общества:
295;19;Принято выделять следующие виды гипотез:
296;19;В зависимости от используемых инструментов (методов) сбора полевой (первичной) информации исследования можно разделить на:
297;19;Документ, в котором происходит фиксация результатов опроса:
298;19;Специфический метод сбора информации, при котором имеются только тема и цель - это:
299;19;Оценка исследуемых процессов квалифицированными специалистами – экспертами – это:
300;19;К достоинствам анкетирования относятся:
301;19;К недостаткам анкетирования относятся
302;19;Совокупность методических приёмов и процедур, применяемых для извлечения из документальных источников социологической информации при изучении социальных процессов и явлений в целях решения определённых исследовательских задач:
303;19;Классификация документов по ряду оснований:
304;19;Предметом исследования являются:
305;19;Часть исследовательской программы, в которую вносятся необходимые данные о каждом респонденте:
306;20;Когда необходимо составлять блок-схему программы?
307;20;Наиболее наглядной формой описания алгоритма является структурно-стилизованный метод
308;20;Перевод программ с языка высокого уровня на язык более низкого уровня  обеспечивает программа -
309;20;В графических схемах алгоритмов стрелки направлений на линиях потоков
310;20;Разработка алгоритма решения задачи – это
311;20;Языком высокого уровня является
312;20;Алгоритм, в котором действия выполняются друг за другом, не повторяясь называется:
313;20;Разработке алгоритма предшествует
314;20;Символьный тип данных объявляется служебным словом:
315;20;В операторе присваивания summa := sqr(x)+3*a  переменными являются
316;21;Информационным называется общество, где:
317;21;Информатизация общества — это:
318;21;Компьютеризация общества — это:
319;21;Информационная культура общества предполагает:
320;21;Информационные ресурсы общества — это:
321;21;Рынок информационных услуг — это:
322;21;На рынке информационных услуг подлежат продаже и обмену:
323;21;Информатика — это:
324;21;Кибернетика — это:
325;21;Экономическая информация — это:
326;21;Классификация экономической информации позволяет:
327;21;Методами классификации экономической информации являются:
328;21;Данные — это:
329;22;﻿ К экзогенно-органическим психическим заболеваниям относят:
330;22;В течении травматической болезни выделяют следующие периоды:
331;22;"Сквозными" психическими расстройствами при черепно-мозговой травме являются:
332;22;Для начального периода черепно-мозговой травмы наиболее характерны следующие психические расстройства (синдромы):
333;22;К острым (подострым) травматическим психозам относятся:
334;22;Наиболее часто встречающимся травматическим психозом острого периода является:
335;22;При травме воздушной взрывной волной наиболее специфичными психическими расстройствами являются:
336;22;Для всех больных с черепно-мозговой травмой обязательным является назначение:
337;22;Эпилепсия относится к:
338;22;Аура является:
339;22;Последовательность стадий большого судорожного припадка следующая:
340;22;"Джексоновский" припадок относится к:
341;22;Для больных эпилепсией характерна:
342;23;Что является самым частым осложнением стрессовой язвы желудка?
343;23;Абсолютным показанием к операции при гастродуоденальных язвах является:
344;23;Кто из хирургов Военно-медицинской академии был удостоен Государственной премии СССР за внедрение ваготомии в хирургическую практику?
345;23;По отнощению к брюшине червеобразный отросток расположен:
346;23;Какое наиболее частое расположение червеобразного отростка?
347;23;Hаибольшее распространение в хирургической практике нашла классификация острого аппендицита:
348;23;Какая наиболее частая окончательная локализация болей при остром аппендиците?
349;23;Первичная локализация болей в подложечной области особенно часто наблюдается при:
350;23;Температура тела при остром аппендиците, как правило, колеблется в пределах:
351;23;"Пахово-мошоночный симптом" для определения воспалительного состояния брюшины при остром аппендиците называется симптомом:
352;23;"Симптом скольжения" для диагностики острого аппендицита впервые предложил:
353;23;Диагностические ошибки при остром аппендиците в основном объясняются:
354;23;Hаиболее часто симулирует острый аппендицит:
355;24;Законники, представители официального духовенства в Средней Азии - это ...
356;24;Кто такие "багауды"?
357;24;Кого в древнем Риме называли "колонами"?
358;24;Что отражает выражение "Пойти в Каноссу"?
359;24;Поступательное движение человеческого общества от низших ступеней к высшим называется ...
360;24;Реакционная идеология и политика, направленные на подготовку новой войны с целью отплатить за понесенное поражение и вернуть утраченные позиции называется ...
361;24;Что означает бантустан?
362;24;"Деспотия" в переводе с греческого означает ...
363;24;Как в древнегреческих источниках называлась населенная часть, граница Земли?
364;24;Антропологи - это ... 1) ученые, изучающие вещественные источники; 2) специалисты по изучению древних языков и генеалогии; 3) ученые, изучающие материальную культуру людей, их быт и образ жизни; 4) специалисты, восстанавливающие внешний облик древних людей по их останкам; 5) ученые, производящие раскопки стоянок первобытных людей; 6) специалисты, изучающие проблемы происхождения и развития человека.
365;24;Что означает в переносном смысле выражение "ахиллесова пята"?
366;24;Как назывался священный напиток зороастрийцев, смешанный с молоком?
367;24;Скунха это ...
368;24;Чоппер это ...
369;25;﻿Основными задачами концепции развития здра¬воохранения и медицинской науки в РФ являются:
370;25;При обращении за медицинской помощью и ее получении пациент имеет право на:
371;25;Информация о состоянии здоровья предостав¬ляется гражданину:
372;25;В случае неблагоприятного прогноза информа¬ция деликатным способом сообщается:
373;25;Информация, которую пациент имеет право получить в доступной для него форме:
374;25;С медицинской документацией о своем здоро¬вье гражданин имеет право:
375;25;Без согласия гражданина или его представите¬ля медицинское вмешательство допускается при заболеваниях:
376;25;Действия или средства для удовлетворения просьбы пациента об ускорении его смерти - это:
377;25;Медицинскому персоналу осуществлять эвта¬назию:
378;25;Отказ от медицинского вмешательства с ука¬занием возможных последствий оформляется в ме¬дицинской документации с подписью:
379;25;Возмещение ущерба в случае причинения вреда здоровью пациента при оказании медицинской помощи законом:
380;26;Наиболее характерный симптом, указывающий на раковое перерождение при хроническом эзофагите:
381;26;К препаратам, снижающим желудочно-пищеводный рефлюкс, не относится:
382;26;При лечении ахалазии пищевода противопоказано применять:
383;26;Рентгенологически выявленное отсутствие перистальтики в дистальном отделе пищевода при нормальной моторике в проксимальном отделе характерно для:
384;26;Наличие желудочной метаплазии нижнего пищеводного сфинктера характерно для:
385;26;При рефлюкс-эзофагите применяют: а) нитроглицерин; б) мотилиум; в) но-шпу; г) де-нол; д) маалокс; е) ранитидин. Выберите правильную комбинацию:
386;26;К основным методам исследования, позволяющим верифицировать диагноз хронического гастрита, не относится:
387;26;Наличие триады симптомов - стойкое повышение желудочной секреции, изъязвление ЖКТ, диарея - указывает на:
388;26;О степени активности гастрита судят по клеточной инфильтрации слизистой оболочки желудка:
389;26;Для клиники хронического гастрита характерно:
390;27;В репродуктивной системе
391;27;В репродуктивной системе
392;27;В репродуктивной системе
393;27;В репродуктивной системе
394;27;Преовуляторные изменения гормонального фона характеризуются повышением уровня
395;27;Физиологические процессы в яичнике могут быть оценены с помощью
396;27;В первой фазе менструального цикла
